strain_name,plate_pos,date_collection,site_collection,plant_num,leaf_num,OTU_assignment
plate2.F5,F5,15_12_2015,Det-2,213,b,OTU1
plate2.F8,F8,15_12_2015,Det-2,222,a,OTU1
plate2.F9,F9,15_12_2015,Det-2,191,a,OTU1
plate2.G1,G1,15_12_2015,Det-2,216,a,OTU6
plate2.G10,G10,15_12_2015,Det-2,205,b,OTU2
plate2.G2,G2,15_12_2015,Det-2,216,a,OTU2
plate2.G3,G3,15_12_2015,Det-2,209,b,OTU1
plate2.G4,G4,15_12_2015,Det-2,200,b,OTU1
plate2.G5,G5,15_12_2015,Det-2,219,a,OTU3
plate2.G6,G6,15_12_2015,Det-2,219,a,OTU3
plate2.G7,G7,15_12_2015,Det-2,215,a,OTU1
plate2.G8,G8,15_12_2015,Det-2,215,a,OTU1
plate2.G9,G9,15_12_2015,Det-2,189,a,OTU2
plate2.H1,H1,15_12_2015,Det-2,193,a,OTU3
plate2.H10,H10,15_12_2015,Det-2,205,b,OTU2
plate2.H2,H2,15_12_2015,Det-2,216,a,OTU6
plate2.H4,H4,15_12_2015,Det-2,209,b,OTU1
plate2.H5,H5,15_12_2015,Det-2,200,b,OTU1
plate2.H6,H6,15_12_2015,Det-2,219,a,OTU3
plate2.H7,H7,15_12_2015,Det-2,215,a,OTU1
plate2.H8,H8,15_12_2015,Det-2,215,a,OTU1
plate2.H9,H9,15_12_2015,Det-2,189,a,OTU2
plate20.A1,A1,23_3_2016,Eyach,285,a,OTU1
plate20.A10,A10,23_3_2016,Eyach,257,b,OTU5
plate20.A11,A11,23_3_2016,Eyach,322,b,OTU1
plate20.A12,A12,23_3_2016,Eyach,316,b,OTU1
plate20.A2,A2,23_3_2016,Eyach,304,a,OTU1
plate20.A3,A3,23_3_2016,Eyach,308,b,OTU1
plate20.A4,A4,23_3_2016,Eyach,271,b,OTU1
plate20.A5,A5,23_3_2016,Eyach,329,b,OTU1
plate20.A7,A7,23_3_2016,Eyach,325,a,OTU1
plate20.A8,A8,23_3_2016,Eyach,326,a,OTU1
plate20.B1,B1,23_3_2016,Eyach,285,a,OTU1
plate20.B10,B10,23_3_2016,Eyach,257,b,OTU5
plate20.B11,B11,23_3_2016,Eyach,322,b,OTU1
plate20.B12,B12,23_3_2016,Eyach,316,b,OTU1
plate20.B2,B2,23_3_2016,Eyach,304,a,OTU1
plate20.B3,B3,23_3_2016,Eyach,308,b,OTU1
plate20.B4,B4,23_3_2016,Eyach,271,b,OTU1
plate20.B5,B5,23_3_2016,Eyach,329,b,OTU1
plate20.B7,B7,23_3_2016,Eyach,325,a,OTU1
plate20.B8,B8,23_3_2016,Eyach,326,a,OTU1
plate20.C1,C1,23_3_2016,Eyach,285,a,OTU1
plate20.C10,C10,23_3_2016,Eyach,257,b,OTU1
plate20.C11,C11,23_3_2016,Eyach,322,b,OTU1
plate20.C12,C12,23_3_2016,Eyach,316,b,OTU1
plate20.C2,C2,23_3_2016,Eyach,304,a,OTU1
plate20.C3,C3,23_3_2016,Eyach,308,b,OTU1
plate20.C4,C4,23_3_2016,Eyach,271,b,OTU1
plate20.C5,C5,23_3_2016,Eyach,329,b,OTU1
plate20.C7,C7,23_3_2016,Eyach,325,a,OTU1
plate20.C9,C9,23_3_2016,Eyach,321,a,OTU1
plate20.D1,D1,23_3_2016,Eyach,285,a,OTU1
plate20.D10,D10,23_3_2016,Eyach,257,b,OTU1
plate20.D11,D11,23_3_2016,Eyach,322,b,OTU1
plate20.D12,D12,23_3_2016,Eyach,316,b,OTU1
plate20.D2,D2,23_3_2016,Eyach,304,a,OTU1
plate20.D3,D3,23_3_2016,Eyach,308,b,OTU1
plate20.D4,D4,23_3_2016,Eyach,271,b,OTU1
plate20.D5,D5,23_3_2016,Eyach,329,b,OTU1
plate20.D7,D7,23_3_2016,Eyach,325,a,OTU1
plate20.D8,D8,23_3_2016,Eyach,326,a,OTU1
plate20.E1,E1,23_3_2016,Eyach,323,a,OTU1
plate20.E10,E10,23_3_2016,Eyach,257,b,OTU1
plate20.E11,E11,23_3_2016,Eyach,322,b,OTU1
plate20.E12,E12,23_3_2016,Eyach,316,b,OTU1
plate20.E2,E2,23_3_2016,Eyach,304,a,OTU1
plate20.E3,E3,23_3_2016,Eyach,308,b,OTU1
plate20.E4,E4,23_3_2016,Eyach,271,b,OTU1
plate20.E5,E5,23_3_2016,Eyach,329,b,OTU1
plate20.E7,E7,23_3_2016,Eyach,325,a,OTU1
plate20.E8,E8,23_3_2016,Eyach,326,a,OTU1
plate20.E9,E9,23_3_2016,Eyach,321,a,OTU1
plate20.F1,F1,23_3_2016,Eyach,323,a,OTU1
plate20.F10,F10,23_3_2016,Eyach,257,b,OTU1
plate20.F11,F11,23_3_2016,Eyach,322,b,OTU1
plate20.F12,F12,23_3_2016,Eyach,316,b,OTU1
plate20.F2,F2,23_3_2016,Eyach,304,a,OTU1
plate20.F3,F3,23_3_2016,Eyach,308,b,OTU1
plate20.F4,F4,23_3_2016,Eyach,271,b,OTU1
plate20.F5,F5,23_3_2016,Eyach,329,b,OTU1
plate20.F8,F8,23_3_2016,Eyach,326,a,OTU1
plate20.F9,F9,23_3_2016,Eyach,321,a,OTU1
plate20.G1,G1,23_3_2016,Eyach,323,a,OTU1
plate20.G10,G10,23_3_2016,Eyach,257,b,OTU1
plate20.G11,G11,23_3_2016,Eyach,322,b,OTU1
plate20.G12,G12,23_3_2016,Eyach,316,b,OTU1
plate20.G2,G2,23_3_2016,Eyach,304,a,OTU1
plate20.G3,G3,23_3_2016,Eyach,308,b,OTU1
plate20.G4,G4,23_3_2016,Eyach,271,b,OTU1
plate20.G5,G5,23_3_2016,Eyach,329,b,OTU1
plate20.G7,G7,23_3_2016,Eyach,325,a,OTU1
plate20.G8,G8,23_3_2016,Eyach,326,a,OTU1
plate20.G9,G9,23_3_2016,Eyach,321,a,OTU1
plate20.H1,H1,23_3_2016,Eyach,323,a,OTU1
plate20.H10,H10,23_3_2016,Eyach,257,b,OTU1
plate20.H11,H11,23_3_2016,Eyach,322,b,OTU1
plate20.H12,H12,23_3_2016,Eyach,316,b,OTU1
plate20.H2,H2,23_3_2016,Eyach,304,a,OTU1
plate20.H3,H3,23_3_2016,Eyach,308,b,OTU1
plate20.H4,H4,23_3_2016,Eyach,271,b,OTU1
plate20.H5,H5,23_3_2016,Eyach,329,b,OTU1
plate20.H7,H7,23_3_2016,Eyach,325,a,OTU1
plate20.H8,H8,23_3_2016,Eyach,326,a,OTU1
plate20.H9,H9,23_3_2016,Eyach,321,a,OTU1
plate21.A1,A1,23_3_2016,Eyach,320,b,OTU1
plate21.A10,A10,23_3_2016,Eyach,273,a,OTU1
plate21.A11,A11,23_3_2016,Eyach,268,b,OTU1
plate21.A12,A12,23_3_2016,Eyach,261,b,OTU1
plate21.A2,A2,23_3_2016,Eyach,311,b,OTU1
plate21.A3,A3,23_3_2016,Eyach,288,b,OTU1
plate21.A4,A4,23_3_2016,Eyach,305,b,OTU1
plate21.A5,A5,23_3_2016,Eyach,315,b,OTU1
plate21.A7,A7,23_3_2016,Eyach,283,b,OTU1
plate21.A8,A8,23_3_2016,Eyach,300,a,OTU1
plate21.A9,A9,23_3_2016,Eyach,286,a,OTU1
plate21.B1,B1,23_3_2016,Eyach,320,b,OTU1
plate21.B10,B10,23_3_2016,Eyach,273,a,OTU1
plate21.B11,B11,23_3_2016,Eyach,268,b,OTU1
plate21.B12,B12,23_3_2016,Eyach,261,b,OTU1
plate21.B2,B2,23_3_2016,Eyach,311,b,OTU1
plate21.B3,B3,23_3_2016,Eyach,288,b,OTU1
plate21.B4,B4,23_3_2016,Eyach,305,b,OTU1
plate21.B5,B5,23_3_2016,Eyach,315,b,OTU1
plate21.B7,B7,23_3_2016,Eyach,283,b,OTU1
plate21.B8,B8,23_3_2016,Eyach,300,a,OTU1
plate21.B9,B9,23_3_2016,Eyach,286,a,OTU1
plate21.C1,C1,23_3_2016,Eyach,320,b,OTU1
plate21.C10,C10,23_3_2016,Eyach,273,a,OTU1
plate21.C11,C11,23_3_2016,Eyach,268,b,OTU1
plate21.C12,C12,23_3_2016,Eyach,261,b,OTU1
plate21.C2,C2,23_3_2016,Eyach,311,b,OTU1
plate21.C3,C3,23_3_2016,Eyach,288,b,OTU1
plate21.C4,C4,23_3_2016,Eyach,305,b,OTU1
plate21.C5,C5,23_3_2016,Eyach,315,b,OTU1
plate21.C7,C7,23_3_2016,Eyach,283,b,OTU1
plate21.C8,C8,23_3_2016,Eyach,300,a,OTU1
plate21.C9,C9,23_3_2016,Eyach,286,a,OTU1
plate21.D1,D1,23_3_2016,Eyach,320,b,OTU1
plate21.D10,D10,23_3_2016,Eyach,273,a,OTU1
plate21.D11,D11,23_3_2016,Eyach,268,b,OTU1
plate21.D2,D2,23_3_2016,Eyach,311,b,OTU1
plate21.D3,D3,23_3_2016,Eyach,288,b,OTU1
plate21.D4,D4,23_3_2016,Eyach,305,b,OTU1
plate21.D5,D5,23_3_2016,Eyach,315,b,OTU1
plate21.D7,D7,23_3_2016,Eyach,283,b,OTU1
plate21.D8,D8,23_3_2016,Eyach,300,a,OTU1
plate21.D9,D9,23_3_2016,Eyach,286,a,OTU1
plate21.E1,E1,23_3_2016,Eyach,320,b,OTU1
plate21.E10,E10,23_3_2016,Eyach,273,a,OTU1
plate21.E11,E11,23_3_2016,Eyach,268,b,OTU1
plate21.E12,E12,23_3_2016,Eyach,261,b,OTU1
plate21.E2,E2,23_3_2016,Eyach,311,b,OTU1
plate21.E3,E3,23_3_2016,Eyach,288,b,OTU1
plate21.E4,E4,23_3_2016,Eyach,305,b,OTU1
plate21.E5,E5,23_3_2016,Eyach,315,b,OTU1
plate21.E7,E7,23_3_2016,Eyach,283,b,OTU1
plate21.E8,E8,23_3_2016,Eyach,300,a,OTU1
plate21.E9,E9,23_3_2016,Eyach,286,a,OTU1
plate21.F1,F1,23_3_2016,Eyach,320,b,OTU1
plate21.F10,F10,23_3_2016,Eyach,273,a,OTU1
plate21.F11,F11,23_3_2016,Eyach,268,b,OTU1
plate21.F12,F12,23_3_2016,Eyach,261,b,OTU1
plate21.F2,F2,23_3_2016,Eyach,311,b,OTU1
plate21.F3,F3,23_3_2016,Eyach,288,b,OTU1
plate21.F4,F4,23_3_2016,Eyach,305,b,OTU1
plate21.F5,F5,23_3_2016,Eyach,315,b,OTU1
plate21.F7,F7,23_3_2016,Eyach,283,b,OTU1
plate21.F8,F8,23_3_2016,Eyach,300,a,OTU1
plate21.F9,F9,23_3_2016,Eyach,286,a,OTU1
plate21.G1,G1,23_3_2016,Eyach,320,b,OTU1
plate21.G10,G10,23_3_2016,Eyach,273,a,OTU1
plate21.G11,G11,23_3_2016,Eyach,268,b,OTU1
plate21.G12,G12,23_3_2016,Eyach,261,b,OTU1
plate21.G2,G2,23_3_2016,Eyach,311,b,OTU1
plate21.G3,G3,23_3_2016,Eyach,288,b,OTU1
plate21.G4,G4,23_3_2016,Eyach,305,b,OTU1
plate21.G5,G5,23_3_2016,Eyach,315,b,OTU1
plate21.G7,G7,23_3_2016,Eyach,283,b,OTU1
plate21.G8,G8,23_3_2016,Eyach,300,a,OTU1
plate21.G9,G9,23_3_2016,Eyach,286,a,OTU1
plate21.H1,H1,23_3_2016,Eyach,320,b,OTU1
plate21.H10,H10,23_3_2016,Eyach,273,a,OTU1
plate21.H11,H11,23_3_2016,Eyach,268,b,OTU1
plate21.H12,H12,23_3_2016,Eyach,261,b,OTU1
plate21.H2,H2,23_3_2016,Eyach,311,b,OTU1
plate21.H3,H3,23_3_2016,Eyach,288,b,OTU1
plate21.H4,H4,23_3_2016,Eyach,305,b,OTU1
plate21.H5,H5,23_3_2016,Eyach,315,b,OTU1
plate21.H7,H7,23_3_2016,Eyach,283,b,OTU1
plate21.H8,H8,23_3_2016,Eyach,300,a,OTU1
plate21.H9,H9,23_3_2016,Eyach,286,a,OTU1
plate22.A1,A1,23_3_2016,Eyach,324,b,OTU1
plate22.A2,A2,23_3_2016,Eyach,280,b,OTU1
plate22.A3,A3,23_3_2016,Eyach,291,NA,OTU1
plate22.A4,A4,23_3_2016,Eyach,295,b,OTU1
plate22.A5,A5,23_3_2016,Eyach,297,a,OTU1
plate22.A7,A7,23_3_2016,Eyach,302,a,OTU1
plate22.A8,A8,23_3_2016,Eyach,294,a,OTU1
plate22.B1,B1,23_3_2016,Eyach,324,b,OTU1
plate22.B2,B2,23_3_2016,Eyach,280,b,OTU1
plate22.B3,B3,23_3_2016,Eyach,293,a,OTU1
plate22.B4,B4,23_3_2016,Eyach,295,b,OTU1
plate22.B5,B5,23_3_2016,Eyach,302,a,OTU1
plate22.B7,B7,23_3_2016,Eyach,294,a,OTU1
plate22.B8,B8,23_3_2016,Eyach,310,a,OTU1
plate22.C1,C1,23_3_2016,Eyach,324,b,OTU1
plate22.C2,C2,23_3_2016,Eyach,280,b,OTU1
plate22.C3,C3,23_3_2016,Eyach,328,b,OTU1
plate22.C4,C4,23_3_2016,Eyach,295,b,OTU1
plate22.C5,C5,23_3_2016,Eyach,302,a,OTU1
plate22.C7,C7,23_3_2016,Eyach,294,a,OTU1
plate22.C8,C8,23_3_2016,Eyach,310,a,OTU1
plate22.D1,D1,23_3_2016,Eyach,324,b,OTU1
plate22.D2,D2,23_3_2016,Eyach,280,b,OTU1
plate22.D3,D3,23_3_2016,Eyach,328,b,OTU1
plate22.D4,D4,23_3_2016,Eyach,295,b,OTU1
plate22.D5,D5,23_3_2016,Eyach,302,a,OTU1
plate22.D7,D7,23_3_2016,Eyach,294,a,OTU1
plate22.D8,D8,23_3_2016,Eyach,310,a,OTU1
plate22.E1,E1,23_3_2016,Eyach,324,b,OTU1
plate22.E2,E2,23_3_2016,Eyach,280,b,OTU1
plate22.E3,E3,23_3_2016,Eyach,295,b,OTU1
plate22.E4,E4,23_3_2016,Eyach,302,a,OTU1
plate22.E5,E5,23_3_2016,Eyach,294,a,OTU1
plate22.E7,E7,23_3_2016,Eyach,298,b,OTU1
plate22.F1,F1,23_3_2016,Eyach,280,b,OTU1
plate22.F2,F2,23_3_2016,Eyach,280,b,OTU1
plate22.F3,F3,23_3_2016,Eyach,295,b,OTU1
plate22.F4,F4,23_3_2016,Eyach,302,a,OTU1
plate22.F5,F5,23_3_2016,Eyach,294,a,OTU1
plate22.F7,F7,23_3_2016,Eyach,310,a,OTU1
plate22.G1,G1,23_3_2016,Eyach,324,b,OTU1
plate22.G2,G2,23_3_2016,Eyach,280,b,OTU1
plate22.G3,G3,23_3_2016,Eyach,295,b,OTU1
plate22.G4,G4,23_3_2016,Eyach,302,a,OTU1
plate22.G5,G5,23_3_2016,Eyach,294,a,OTU1
plate22.G7,G7,23_3_2016,Eyach,310,a,OTU1
plate22.H1,H1,23_3_2016,Eyach,324,b,OTU1
plate22.H2,H2,23_3_2016,Eyach,280,b,OTU1
plate22.H3,H3,23_3_2016,Eyach,295,b,OTU1
plate22.H4,H4,23_3_2016,Eyach,302,a,OTU1
plate22.H5,H5,23_3_2016,Eyach,294,a,OTU1
plate23.A1,A1,31_3_2016,Det-2,422,b,OTU1
plate23.A2,A2,31_3_2016,Pfrondorf2,408,a,OTU1
plate23.A3,A3,31_3_2016,Det-2,365,a,OTU1
plate23.A4,A4,31_3_2016,Det-2,364,a,OTU3
plate23.A5,A5,31_3_2016,Det-2,363,a,OTU6
plate23.A6,A6,31_3_2016,Pfrondorf2,351,b,OTU1
plate23.A7,A7,31_3_2016,Pfrondorf2,357,b,OTU1
plate23.A8,A8,31_3_2016,Pfrondorf2,352,a,OTU1
plate23.A9,A9,31_3_2016,Pfrondorf2,408,a,OTU1
plate23.B1,B1,31_3_2016,Det-2,422,b,OTU1
plate23.B2,B2,31_3_2016,Pfrondorf2,408,a,OTU1
plate23.B3,B3,31_3_2016,Det-2,392,a,OTU1
plate23.B4,B4,31_3_2016,Det-2,363,a,OTU6
plate23.B5,B5,31_3_2016,Pfrondorf2,351,b,OTU1
plate23.B6,B6,31_3_2016,Pfrondorf2,357,b,OTU1
plate23.B7,B7,31_3_2016,Pfrondorf2,352,a,OTU1
plate23.B8,B8,31_3_2016,Pfrondorf2,351,b,OTU1
plate23.B9,B9,31_3_2016,Det-2,419,a,OTU1
plate23.C1,C1,31_3_2016,Det-2,422,b,OTU1
plate23.C2,C2,31_3_2016,Pfrondorf2,408,a,OTU1
plate23.C3,C3,31_3_2016,Det-2,401,a,OTU1
plate23.C4,C4,31_3_2016,Pfrondorf2,351,b,OTU1
plate23.C5,C5,31_3_2016,Pfrondorf2,357,b,OTU1
plate23.C6,C6,31_3_2016,Pfrondorf2,375,b,OTU11
plate23.C7,C7,31_3_2016,Pfrondorf2,352,a,OTU1
plate23.C8,C8,31_3_2016,Det-2,422,b,OTU1
plate23.C9,C9,31_3_2016,Pfrondorf2,351,b,OTU1
plate23.D1,D1,31_3_2016,Det-2,422,b,OTU1
plate23.D2,D2,31_3_2016,Pfrondorf2,408,a,OTU1
plate23.D3,D3,31_3_2016,Det-2,401,a,OTU1
plate23.D4,D4,31_3_2016,Pfrondorf2,351,b,OTU1
plate23.D5,D5,31_3_2016,Pfrondorf2,357,b,OTU1
plate23.D6,D6,31_3_2016,Pfrondorf2,352,a,OTU1
plate23.D7,D7,31_3_2016,Pfrondorf2,339,b,OTU1
plate23.D8,D8,31_3_2016,Pfrondorf2,408,a,OTU3
plate23.D9,D9,31_3_2016,Pfrondorf2,339,b,OTU1
plate23.E1,E1,31_3_2016,Det-2,387,b,OTU1
plate23.E2,E2,31_3_2016,Pfrondorf2,388,a,OTU1
plate23.E5,E5,31_3_2016,Pfrondorf2,358,a,OTU3
plate23.E6,E6,31_3_2016,Det-2,387,b,OTU1
plate23.E7,E7,31_3_2016,Pfrondorf2,388,a,OTU1
plate23.E9,E9,31_3_2016,Pfrondorf2,351,b,OTU1
plate23.F1,F1,31_3_2016,Det-2,387,b,OTU1
plate23.F2,F2,31_3_2016,Pfrondorf2,388,a,OTU1
plate23.F4,F4,31_3_2016,Pfrondorf2,358,a,OTU3
plate23.F5,F5,31_3_2016,Det-2,387,b,OTU1
plate23.F6,F6,31_3_2016,Pfrondorf2,388,a,OTU1
plate23.F9,F9,31_3_2016,Pfrondorf2,408,a,OTU1
plate23.G1,G1,31_3_2016,Det-2,387,b,OTU1
plate23.G2,G2,31_3_2016,Pfrondorf2,388,a,OTU1
plate23.G3,G3,31_3_2016,Pfrondorf2,345,b,OTU5
plate23.G5,G5,31_3_2016,Det-2,387,b,OTU1
plate23.G6,G6,31_3_2016,Pfrondorf2,388,a,OTU1
plate23.G7,G7,31_3_2016,Pfrondorf2,345,b,OTU5
plate23.G9,G9,31_3_2016,Pfrondorf2,351,b,OTU1
plate23.H1,H1,31_3_2016,Det-2,387,b,OTU1
plate23.H2,H2,31_3_2016,Pfrondorf2,388,a,OTU1
plate23.H3,H3,31_3_2016,Pfrondorf2,345,b,OTU5
plate23.H5,H5,31_3_2016,Det-2,387,b,OTU1
plate23.H6,H6,31_3_2016,Pfrondorf2,388,a,OTU1
plate23.H7,H7,31_3_2016,Pfrondorf2,345,b,OTU5
plate23.H9,H9,31_3_2016,Pfrondorf2,339,b,OTU1
plate24.A1,A1,23_3_2016,Eyach,285,a,OTU1
plate24.A10,A10,23_3_2016,Eyach,257,b,OTU5
plate24.A11,A11,23_3_2016,Eyach,322,b,OTU1
plate24.A12,A12,23_3_2016,Eyach,316,b,OTU1
plate24.A3,A3,23_3_2016,Eyach,308,b,OTU1
plate24.A4,A4,23_3_2016,Eyach,271,b,OTU1
plate24.A5,A5,23_3_2016,Eyach,329,b,OTU1
plate24.A7,A7,23_3_2016,Eyach,325,a,OTU1
plate24.A8,A8,23_3_2016,Eyach,326,a,OTU1
plate24.A9,A9,23_3_2016,Eyach,321,a,OTU1
plate24.B1,B1,23_3_2016,Eyach,285,a,OTU1
plate24.B10,B10,23_3_2016,Eyach,257,b,OTU1
plate24.B11,B11,23_3_2016,Eyach,322,b,OTU1
plate24.B12,B12,23_3_2016,Eyach,316,b,OTU1
plate24.B3,B3,23_3_2016,Eyach,308,b,OTU1
plate24.B4,B4,23_3_2016,Eyach,271,b,OTU1
plate24.B5,B5,23_3_2016,Eyach,329,b,OTU1
plate24.B7,B7,23_3_2016,Eyach,325,a,OTU1
plate24.B8,B8,23_3_2016,Eyach,326,a,OTU1
plate24.B9,B9,23_3_2016,Eyach,321,a,OTU1
plate24.C1,C1,23_3_2016,Eyach,285,a,OTU1
plate24.C10,C10,23_3_2016,Eyach,257,b,OTU1
plate24.C11,C11,23_3_2016,Eyach,322,b,OTU1
plate24.C12,C12,23_3_2016,Eyach,316,b,OTU1
plate24.C2,C2,23_3_2016,Eyach,304,a,OTU1
plate24.C3,C3,23_3_2016,Eyach,308,b,OTU1
plate24.C4,C4,23_3_2016,Eyach,271,b,OTU1
plate24.C5,C5,23_3_2016,Eyach,329,b,OTU1
plate24.C7,C7,23_3_2016,Eyach,325,a,OTU1
plate24.C8,C8,23_3_2016,Eyach,326,a,OTU1
plate24.C9,C9,23_3_2016,Eyach,321,a,OTU1
plate24.D1,D1,23_3_2016,Eyach,285,a,OTU1
plate24.D10,D10,23_3_2016,Eyach,257,b,OTU5
plate24.D11,D11,23_3_2016,Eyach,322,b,OTU1
plate24.D12,D12,23_3_2016,Eyach,316,b,OTU1
plate24.D2,D2,23_3_2016,Eyach,304,a,OTU1
plate24.D3,D3,23_3_2016,Eyach,308,b,OTU1
plate24.D4,D4,23_3_2016,Eyach,271,b,OTU1
plate24.D5,D5,23_3_2016,Eyach,329,b,OTU1
plate24.D7,D7,23_3_2016,Eyach,325,a,OTU1
plate24.D8,D8,23_3_2016,Eyach,326,a,OTU1
plate24.D9,D9,23_3_2016,Eyach,321,a,OTU1
plate24.E1,E1,23_3_2016,Eyach,323,a,OTU1
plate24.E10,E10,23_3_2016,Eyach,257,b,OTU1
plate24.E11,E11,23_3_2016,Eyach,322,b,OTU1
plate24.E12,E12,23_3_2016,Eyach,316,b,OTU1
plate24.E2,E2,23_3_2016,Eyach,304,a,OTU1
plate24.E3,E3,23_3_2016,Eyach,308,b,OTU1
plate24.E4,E4,23_3_2016,Eyach,271,b,OTU1
plate24.E5,E5,23_3_2016,Eyach,329,b,OTU1
plate24.E7,E7,23_3_2016,Eyach,325,a,OTU1
plate24.E8,E8,23_3_2016,Eyach,326,a,OTU1
plate24.E9,E9,23_3_2016,Eyach,321,a,OTU1
plate24.F1,F1,23_3_2016,Eyach,323,a,OTU1
plate24.F10,F10,23_3_2016,Eyach,257,b,OTU5
plate24.F11,F11,23_3_2016,Eyach,322,b,OTU1
plate24.F12,F12,23_3_2016,Eyach,316,b,OTU1
plate24.F2,F2,23_3_2016,Eyach,304,a,OTU1
plate24.F3,F3,23_3_2016,Eyach,308,b,OTU1
plate24.F4,F4,23_3_2016,Eyach,271,b,OTU1
plate24.F5,F5,23_3_2016,Eyach,329,b,OTU1
plate24.F7,F7,23_3_2016,Eyach,325,a,OTU1
plate24.F8,F8,23_3_2016,Eyach,326,a,OTU1
plate24.F9,F9,23_3_2016,Eyach,321,a,OTU1
plate24.G1,G1,23_3_2016,Eyach,323,a,OTU1
plate24.G10,G10,23_3_2016,Eyach,257,b,OTU5
plate24.G11,G11,23_3_2016,Eyach,322,b,OTU1
plate24.G12,G12,23_3_2016,Eyach,316,b,OTU1
plate24.G2,G2,23_3_2016,Eyach,304,a,OTU1
plate24.G3,G3,23_3_2016,Eyach,308,b,OTU1
plate24.G4,G4,23_3_2016,Eyach,271,b,OTU1
plate24.G5,G5,23_3_2016,Eyach,329,b,OTU1
plate24.G7,G7,23_3_2016,Eyach,325,a,OTU1
plate24.G8,G8,23_3_2016,Eyach,326,a,OTU1
plate24.G9,G9,23_3_2016,Eyach,321,a,OTU1
